ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
208,神奈川県,逗子市,23840 ,70 ,1070 ,3370 ,3920 ,4190 ,10520 ,2120 ,40 ,2080 ,10430 ,7930 ,780 ,230 ,1490 ,7730 ,40 ,7700 ,6490 ,6120 ,4020 ,3980 ,2660 
210,神奈川県,三浦市,18320 ,100 ,520 ,1760 ,2530 ,4450 ,8400 ,2790 ,920 ,1880 ,7080 ,4380 ,710 ,170 ,1820 ,5540 ,10 ,5530 ,6800 ,5170 ,2950 ,1920 ,1010 
211,神奈川県,秦野市,67490 ,5380 ,5470 ,9310 ,9820 ,13470 ,22400 ,4970 ,800 ,4170 ,29420 ,20430 ,2110 ,610 ,6280 ,19400 ,2150 ,17240 ,23170 ,17660 ,11310 ,7940 ,4260 
213,神奈川県,大和市,100030 ,1190 ,8990 ,18170 ,17380 ,16000 ,30970 ,6630 ,120 ,6520 ,39450 ,29530 ,2000 ,1420 ,6500 ,17580 ,300 ,17280 ,28850 ,29210 ,17500 ,11900 ,5700 
214,神奈川県,伊勢原市,39470 ,1260 ,4110 ,6560 ,7160 ,7160 ,11910 ,3230 ,640 ,2590 ,20140 ,14620 ,1090 ,910 ,3520 ,9960 ,410 ,9560 ,12260 ,11820 ,6610 ,4670 ,2870 
215,神奈川県,海老名市,52380 ,1060 ,5880 ,10390 ,9290 ,9570 ,14620 ,3280 ,260 ,3020 ,25300 ,19150 ,1550 ,880 ,3710 ,14050 ,100 ,13950 ,15140 ,14170 ,10140 ,7440 ,3810 
216,神奈川県,座間市,53890 ,630 ,5120 ,8690 ,9350 ,9310 ,16310 ,4500 ,150 ,4350 ,26190 ,18300 ,1450 ,1190 ,5260 ,11490 ,90 ,11400 ,16130 ,15820 ,9260 ,5870 ,2740 
217,神奈川県,南足柄市,15530 ,100 ,1140 ,2570 ,2630 ,3130 ,5670 ,1620 ,330 ,1290 ,7960 ,5640 ,540 ,250 ,1530 ,4340 ,10 ,4330 ,4440 ,4610 ,2760 ,2170 ,1290 
218,神奈川県,綾瀬市,32000 ,480 ,2730 ,5550 ,5070 ,5320 ,10940 ,2460 ,220 ,2240 ,16180 ,11250 ,1270 ,780 ,2890 ,8340 ,50 ,8290 ,9040 ,9970 ,5710 ,3590 ,1800 
301,神奈川県,葉山町,12690 ,10 ,570 ,1610 ,2180 ,2080 ,5880 ,1640 ,80 ,1560 ,4960 ,3560 ,580 ,110 ,700 ,4370 ,20 ,4350 ,3180 ,2980 ,2520 ,2190 ,1490 
321,神奈川県,寒川町,17840 ,290 ,1760 ,3230 ,2800 ,3440 ,5460 ,1360 ,160 ,1200 ,9730 ,6980 ,440 ,300 ,2000 ,3960 ,0 ,3960 ,4870 ,5860 ,3250 ,2000 ,940 
341,神奈川県,大磯町,12110 ,140 ,570 ,1930 ,1880 ,2580 ,4940 ,1370 ,230 ,1140 ,5700 ,4010 ,490 ,70 ,1140 ,4060 ,20 ,4040 ,3430 ,3340 ,2340 ,1620 ,1080 
342,神奈川県,二宮町,11300 ,50 ,460 ,1550 ,1780 ,1840 ,4940 ,1040 ,90 ,950 ,5250 ,3810 ,350 ,130 ,960 ,4050 ,20 ,4040 ,3310 ,2900 ,1820 ,1670 ,910 
362,神奈川県,大井町,6460 ,60 ,500 ,1190 ,1150 ,1320 ,2150 ,840 ,140 ,700 ,3470 ,2580 ,230 ,120 ,550 ,1660 ,0 ,1660 ,1850 ,2280 ,990 ,850 ,400 
366,神奈川県,開成町,6120 ,20 ,330 ,1030 ,1060 ,1230 ,2240 ,630 ,120 ,500 ,3300 ,2330 ,200 ,80 ,690 ,1660 ,0 ,1660 ,1590 ,2000 ,1050 ,860 ,430 
384,神奈川県,湯河原町,10920 ,70 ,500 ,970 ,1400 ,2110 ,5580 ,1690 ,160 ,1540 ,4100 ,2650 ,260 ,160 ,1030 ,4370 ,40 ,4330 ,4610 ,3170 ,1380 ,1120 ,390 
401,神奈川県,愛川町,15900 ,120 ,1130 ,2560 ,2330 ,3390 ,5110 ,1690 ,120 ,1570 ,8300 ,5750 ,320 ,310 ,1910 ,3560 ,50 ,3510 ,5380 ,4890 ,2440 ,1520 ,430 
