id,県,市町村区,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
235,北海道,石狩市,23240 ,290 ,1090 ,3170 ,3640 ,5710 ,8520 ,2650 ,400 ,2250 ,11740 ,7960 ,1150 ,410 ,2210 ,6720 ,50 ,6670 ,9110 ,7390 ,3610 ,1730 ,610 
236,北海道,北斗市,18570 ,160 ,1270 ,3000 ,3350 ,4000 ,6450 ,2190 ,640 ,1560 ,9740 ,6720 ,870 ,300 ,1840 ,5380 ,60 ,5320 ,8450 ,5420 ,2540 ,1470 ,330 
303,北海道,当別町,6730 ,320 ,240 ,660 ,1340 ,1570 ,2570 ,870 ,390 ,480 ,3090 ,2180 ,210 ,90 ,610 ,2060 ,150 ,1900 ,2970 ,1970 ,920 ,470 ,260 
337,北海道,七飯町,11550 ,50 ,530 ,1340 ,1740 ,2810 ,5010 ,1530 ,700 ,830 ,5040 ,3220 ,510 ,150 ,1160 ,4210 ,0 ,4210 ,5600 ,3400 ,1550 ,540 ,330 
345,北海道,森町,6590 ,0 ,400 ,740 ,640 ,1640 ,3160 ,1330 ,580 ,750 ,2700 ,1420 ,470 ,160 ,660 ,2540 ,0 ,2540 ,3620 ,1730 ,500 ,440 ,290 
346,北海道,八雲町,7690 ,110 ,460 ,890 ,1220 ,1840 ,3130 ,1500 ,790 ,710 ,3570 ,2170 ,500 ,110 ,790 ,2600 ,0 ,2600 ,3900 ,2010 ,920 ,620 ,200 
400,北海道,倶知安町,6530 ,70 ,620 ,1410 ,1130 ,1260 ,1820 ,1100 ,330 ,770 ,3750 ,2280 ,1050 ,30 ,400 ,1500 ,0 ,1500 ,2610 ,1830 ,1220 ,470 ,170 
408,北海道,余市町,9040 ,60 ,460 ,990 ,960 ,1910 ,4220 ,1210 ,480 ,730 ,3540 ,2030 ,390 ,80 ,1030 ,3160 ,20 ,3150 ,5130 ,1930 ,650 ,460 ,240 
543,北海道,美幌町,8720 ,110 ,550 ,860 ,1490 ,1640 ,3690 ,1130 ,530 ,600 ,4260 ,2640 ,370 ,150 ,1100 ,2950 ,0 ,2950 ,4360 ,2110 ,1040 ,650 ,220 
555,北海道,遠軽町,9920 ,170 ,580 ,1050 ,1010 ,2100 ,4150 ,980 ,180 ,810 ,4480 ,2740 ,550 ,120 ,1060 ,3950 ,0 ,3950 ,5110 ,2390 ,910 ,480 ,190 
578,北海道,白老町,8360 ,0 ,280 ,760 ,720 ,1870 ,4580 ,760 ,180 ,590 ,3310 ,1840 ,410 ,150 ,920 ,4060 ,0 ,4060 ,4760 ,2230 ,860 ,270 ,120 
610,北海道,新ひだか町,10780 ,60 ,850 ,1340 ,1900 ,2260 ,4350 ,1840 ,1130 ,710 ,5150 ,3060 ,1000 ,110 ,970 ,3760 ,0 ,3760 ,5180 ,3310 ,1280 ,730 ,260 
631,北海道,音更町,18610 ,610 ,1470 ,3130 ,3670 ,3730 ,5990 ,2260 ,1020 ,1240 ,10010 ,6550 ,1100 ,410 ,1950 ,4810 ,30 ,4780 ,8210 ,4920 ,2930 ,1570 ,640 
637,北海道,芽室町,6810 ,70 ,480 ,1150 ,1250 ,1410 ,2390 ,1410 ,810 ,590 ,3400 ,2400 ,360 ,70 ,570 ,1550 ,0 ,1550 ,2180 ,2040 ,1310 ,700 ,450 
643,北海道,幕別町,10710 ,130 ,910 ,1710 ,2030 ,2190 ,3710 ,1590 ,760 ,830 ,6010 ,4000 ,690 ,150 ,1160 ,3110 ,0 ,3110 ,4520 ,2860 ,1750 ,1030 ,550 
661,北海道,釧路町,8250 ,170 ,700 ,1300 ,1550 ,1920 ,2300 ,1080 ,390 ,680 ,4450 ,2890 ,550 ,70 ,940 ,2170 ,0 ,2170 ,3850 ,2310 ,1050 ,580 ,210 
691,北海道,別海町,5740 ,260 ,720 ,1000 ,940 ,1340 ,1410 ,1830 ,1410 ,410 ,2560 ,1520 ,560 ,70 ,410 ,890 ,0 ,890 ,2080 ,1480 ,970 ,680 ,490 
692,北海道,中標津町,10360 ,280 ,1540 ,1700 ,1900 ,2220 ,2640 ,1430 ,530 ,900 ,6480 ,4050 ,980 ,80 ,1370 ,2130 ,0 ,2130 ,4130 ,3480 ,1230 ,1000 ,420 
